id,Title,Content,WPML Language Code,Destinations,Categories,Image Featured,Video,Web,Phone,POI lat,POI long,POI Coordinates
18486,Santiago - Estadio Cibao,"The Estadio Cibao is centrally located in Santiago on Av. Imbert.Â It is around an hoursdrive from hotels in Puerto Plata or Jarabacoa.Â  The homeclub team is the Aguilas CibaeÃ±as (Eagles of the Cibao). They have won 20 championships. The last championship this team won was in 2008. The team color is yellow.

""Dominican Baseball"" href=""/?cat_ID=260"">b>More about Dominican baseball",en,Santiago,Baseball,,,,,19.4670599,-70.7090409,"a:6:{s:7:""address"";s:24:""Santiago - Estadio Cibao"";s:3:""lat"";s:10:""19.4670599"";s:3:""lng"";s:18:""-70.70904089999999"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
18501,Santiago Casinos,"p class=""p1"">Place your bets at one of the citys casinos, conveniently set within hotels downtown. Boasting some of the best gambling facilities in the country, all your favorite games are hereâ€“from roulette to Blackjack, Texas Holdem, poker, and slot machines, among other options./p>
Santiago casinos are at:
""blue"">
 	http://www.hodelpa.com/en/content/casino.html"" target=""_blank"" rel=""noopener"">Hodelpa Gran Almirante/a>/
 	http://www.hodelpa.com/en/content/casino.html"" target=""_blank"" rel=""noopener"">Hodelpa Centro Plaza/a>/
 	http://www.hotelambar.com.do/"" target=""_blank"" rel=""noopener"">Hotel Ambar/a>/
 	http://hotelmatum.com/"" target=""_blank"" rel=""noopener"">Hotel Matum/a>/
 	http://www.hotelplatinord.com/"" target=""_blank"" rel=""noopener"">Hotel Platino/a>/
/ul>",en,Santiago,Dining &amp; Nightlife>Casinos &amp; Gaming,,,,,,,"a:6:{s:7:""address"";s:74:""Av Las Carreras 1, Santiago De Los Caballeros 51000, República Dominicana"";s:3:""lat"";s:10:""19.4517692"";s:3:""lng"";s:18:""-70.69098120000001"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
18505,Puerto Plata Casinos,"If you love to roll the dice, play slot machines or try your hand, youre in luck: the Puerto Plata region is blessed with casino entertainment. Most locations offer Blackjack, roulette, Texas Holdem poker, and slot machines, among other options. Ocean World Casino, in the Cofresí resort area, is the most popular option, stretching 650 square meters (7,000 square feet) with 60 gaming machines, live table games, and a world of surrounding seaside entertainmentâ€“a restaurant, disco, and a weekly cabaret show. Youll find a casino inside the Playa Dorada complex, Casino Playa Chiquita in Sosúa, and the newly renovated Ocean Sands Casino &amp; Club in Cabarete.",en,Puerto Plata,Dining &amp; Nightlife>Casinos &amp; Gaming,,,,,19.7491555,-70.4000074,"a:6:{s:7:""address"";s:77:""Ocean Sands Casino Cabarete, Carretera El Choco, Cabarete, Dominican Republic"";s:3:""lat"";s:10:""19.7491555"";s:3:""lng"";s:18:""-70.40000739999999"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
18535,Puerto Plata Dining,"La Parrillada is one of the oldest in town. Lucia in Casa Colonial, Mares and La Tarappa are some popular suggestions for restaurants in Puerto Plata. Waterfront and Las Palmas in Sosúa. Head out to Cabarete, where the decision is harder as the entire beach strip is lined with restaurants. Check out their menus that are posted outside.",en,Puerto Plata,Dining &amp; Nightlife>Dining,https://www.godominicanrepublic.com/wp-content/uploads/2017/12/Restaurantes-en-playa-de-Cabarete.jpg,,,,19.7848109,-70.6713206,"a:6:{s:7:""address"";s:59:""La Tarappa (Real Italian), Puerto Plata, Dominican Republic"";s:3:""lat"";s:10:""19.7848109"";s:3:""lng"";s:11:""-70.6713206"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
18538,Santiago Dining,"The wealthy head for the gourmet restaurants in the Los Jardines Metropolitanos area for international cuisine. But in that area, La Comai stands out for its very Dominican food.

A visit to Santiago is not complete without stopping by one of the â€œlechonerasâ€, the traditional spit-roasted pork eateries. Everyone in Santiago seems to have their favorite - some of the popular options are Milito, Chito and Embrujo.

Taste the grills at El Corte Selecto and La Parrillita, across from International Mall on Juan Pablo Duarte. Punto Criollo on Av. Ramón Dubert is popular for breakfasts and lunches. El Tablón Latino on Calle del Sol serves Latin American favorites.",en,Santiago,Dining &amp; Nightlife>Dining,https://www.godominicanrepublic.com/wp-content/uploads/2017/12/Plato-tipico-X3.jpg,,,,19.4125739,-70.6457698,"a:6:{s:7:""address"";s:87:""Lechonera Milito, Avenue Hispanoamerica, Santiago De Los Caballeros, Dominican Republic"";s:3:""lat"";s:10:""19.4125739"";s:3:""lng"";s:18:""-70.64576979999998"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
18547,Puerto Plata Nightlife,"Puerto Plata citys nightlife offers a variety of ambiances to suit all moods. Sophisticated bars double as dance spots in the city center, and youll also find cigar lounges. The resort areas along Playa Dorada and Costa Dorada are near nightclubs and casino entertainment. Over on the Malecón, bars host themed nights, from karaoke to live blues, for some seaside fun.",en,Puerto Plata,Dining &amp; Nightlife>Music + Nightlife,,,,,,,
18550,Santiago Nightlife,"The city of Santiago is known for its electric nightlife. Youll find rows of bars and lounges all around the citys iconic Monumento a los HÃ©roes downtown, where crowds flock for fun after work hours and weekends. The city also counts a number of shopping malls with bars and nightclubs, running late into the night. Casino lovers will find their fix at downtown hotels, while live music is often on offerâ€“merengue originated in this central Cibao regionâ€“at one of the citys clubs.",en,Santiago,Dining &amp; Nightlife>Music + Nightlife,https://www.godominicanrepublic.com/wp-content/uploads/2017/12/Gran-Teatro-del-Cibao.jpg,,,,,,
18884,Cayo Arena,"Off these northwestern shores, boats depart to the offshore Cayo Arenaâ€“also known as Cayo Paraísoâ€“offering exceptional diving for beginner levels, starting at five meters (16 feet). Schools of tropical fish can also easily be seen in shallow turquoise waters, making this spot a paradise for snorkeling fans. This area boasts some of the most abundant marine life in the DR, with corals and sponges that surround the caye, where octopuses, crabs, schools of surgeonfish, sergeant majors, damselfish, angelfish, and yellowtail snappers all swim around your feet. This tiny sandbank is also a dreamy spot to relax and take plenty of beach selfies.[/vc_column_text][/vc_column][/vc_row][vc_row][vc_column][om_cc_vc_carouselelement height=""auto"" image_size=""full"" show_arrows=""true"" fullscreen=""true"" enable_rewind=""true"" images=""37980,16975,37284""][/vc_column][/vc_row]",en,Puerto Plata,Beaches|Marinas>Boating Attractions|Family-Friendly|Islands + Cayes,https://www.godominicanrepublic.com/wp-content/uploads/2017/12/rmp7-cayo-arena.-puerto-plata.jpg,,,,,,"a:6:{s:7:""address"";s:10:""Cayo Arena"";s:3:""lat"";s:10:""19.8702532"";s:3:""lng"";s:11:""-71.3061199"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
18885,Discover Puerto Plata,"Beige-colored beach with large rocks and swimmable area. Tourists will often stop by before or after a visit to the close by historic La Isabela site, the first European settlement in the New World. Western Puerto Plata.",en,Puerto Plata,Beaches,,,,,19.9001987,-70.9465066,"a:6:{s:7:""address"";s:11:""Luperon Bay"";s:3:""lat"";s:10:""19.9001987"";s:3:""lng"";s:18:""-70.94650660000002"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
18886,Playa Caletón,"Cozy, crescent-shaped Playa Caletón is a favorite, flanked with lush vegetation and rocky sceneryâ€“some of it bearing sculpted faces of Taino Indian chiefsâ€“that gives it a mystical feel. But accessing this beach is easy from the fishing village of Río San Juan. The entrance sits along the highway between Río San Juan and the Playa Grande beach and golf complex, and a stop here is often included on a boat excursion of Laguna Gri Gri and the surrounding coastline.",en,Puerto Plata,Beaches|Family-Friendly,,,,,19.657471,-70.0713409,"a:6:{s:7:""address"";s:14:""Playa Caletón"";s:3:""lat"";s:9:""19.657471"";s:3:""lng"";s:11:""-70.0713409"";s:4:""zoom"";s:0:"""";s:10:""center_lat"";s:0:"""";s:10:""center_lng"";s:0:"""";}"
